abbreviation,location,location_name,population
NA,19153,Polk County,490161
NA,19155,Pottawattamie County,93206
NA,19157,Poweshiek County,18504
NA,19159,Ringgold County,4894
NA,19161,Sac County,9721
NA,19163,Scott County,172943
NA,19165,Shelby County,11454
NA,19167,Sioux County,34855
NA,19169,Story County,97117
NA,19171,Tama County,16854
NA,19173,Taylor County,6121
NA,19175,Union County,12241
NA,19177,Van Buren County,7044
NA,19179,Wapello County,34969
NA,19181,Warren County,51466
NA,19183,Washington County,21965
NA,19185,Wayne County,6441
NA,19187,Webster County,35904
NA,19189,Winnebago County,10354
NA,19191,Winneshiek County,19991
NA,19193,Woodbury County,103107
NA,19195,Worth County,7381
NA,19197,Wright County,12562
NA,20001,Allen County,12369
NA,20003,Anderson County,7858
NA,20005,Atchison County,16073
NA,20007,Barber County,4427
NA,20009,Barton County,25779
NA,20011,Bourbon County,14534
NA,20013,Brown County,9564
NA,20015,Butler County,66911
NA,20017,Chase County,2648
NA,20019,Chautauqua County,3250
NA,20021,Cherokee County,19939
NA,20023,Cheyenne County,2657
NA,20025,Clark County,1994
NA,20027,Clay County,8002
NA,20029,Cloud County,8786
NA,20031,Coffey County,8179
NA,20033,Comanche County,1700
NA,20035,Cowley County,34908
NA,20037,Crawford County,38818
NA,20039,Decatur County,2827
NA,20041,Dickinson County,18466
NA,20043,Doniphan County,7600
NA,20045,Douglas County,122259
NA,20047,Edwards County,2798
NA,20049,Elk County,2530
NA,20051,Ellis County,28553
NA,20053,Ellsworth County,6102
NA,20055,Finney County,36467
NA,20057,Ford County,33619
NA,20059,Franklin County,25544
NA,20061,Geary County,31670
NA,20063,Gove County,2636
NA,20065,Graham County,2482
NA,20067,Grant County,7150
NA,20069,Gray County,5988
NA,20071,Greeley County,1232
NA,20073,Greenwood County,5982
NA,20075,Hamilton County,2539
NA,20077,Harper County,5436
NA,20079,Harvey County,34429
NA,20081,Haskell County,3968
NA,20083,Hodgeman County,1794
NA,20085,Jackson County,13171
NA,20087,Jefferson County,19043
NA,20089,Jewell County,2879
NA,20091,Johnson County,602401
NA,20093,Kearny County,3838
NA,20095,Kingman County,7152
NA,20097,Kiowa County,2475
NA,20099,Labette County,19618
NA,20101,Lane County,1535
NA,20103,Leavenworth County,81758
NA,20105,Lincoln County,2962
NA,20107,Linn County,9703
NA,20109,Logan County,2794
NA,20111,Lyon County,33195
NA,20113,McPherson County,28542
NA,20115,Marion County,11884
NA,20117,Marshall County,9707
NA,20119,Meade County,4033
NA,20121,Miami County,34237
NA,20123,Mitchell County,5979
NA,20125,Montgomery County,31829
NA,20127,Morris County,5620
NA,20129,Morton County,2587
NA,20131,Nemaha County,10231
NA,20133,Neosho County,16007
NA,20135,Ness County,2750
NA,20137,Norton County,5361
NA,20139,Osage County,15949
NA,20141,Osborne County,3421
NA,20143,Ottawa County,5704
NA,20145,Pawnee County,6414
NA,20147,Phillips County,5234
NA,20149,Pottawatomie County,24383
NA,20151,Pratt County,9164
NA,20153,Rawlins County,2530
NA,20155,Reno County,61998
NA,20157,Republic County,4636
NA,20159,Rice County,9537
NA,20161,Riley County,74232
NA,20163,Rooks County,4920
NA,20165,Rush County,3036
NA,20167,Russell County,6856
NA,20169,Saline County,54224
NA,20171,Scott County,4823
NA,20173,Sedgwick County,516042
NA,20175,Seward County,21428
NA,20177,Shawnee County,176875
NA,20179,Sheridan County,2521
NA,20181,Sherman County,5917
NA,20183,Smith County,3583
NA,20185,Stafford County,4156
NA,20187,Stanton County,2006
NA,20189,Stevens County,5485
NA,20191,Sumner County,22836
NA,20193,Thomas County,7777
NA,20195,Trego County,2803
NA,20197,Wabaunsee County,6931
NA,20199,Wallace County,1518
NA,20201,Washington County,5406
NA,20203,Wichita County,2119
NA,20205,Wilson County,8525
NA,20207,Woodson County,3138
NA,20209,Wyandotte County,165429
NA,21001,Adair County,19202
NA,21003,Allen County,21315
NA,21005,Anderson County,22747
NA,21007,Ballard County,7888
NA,21009,Barren County,44249
NA,21011,Bath County,12500
NA,21013,Bell County,26032
NA,21015,Boone County,133581
NA,21017,Bourbon County,19788
NA,21019,Boyd County,46718
NA,21021,Boyle County,30060
NA,21023,Bracken County,8303
NA,21025,Breathitt County,12630
NA,21027,Breckinridge County,20477
NA,21029,Bullitt County,81676
NA,21031,Butler County,12879
NA,21033,Caldwell County,12747
NA,21035,Calloway County,39001
NA,21037,Campbell County,93584
NA,21039,Carlisle County,4760
NA,21041,Carroll County,10631
NA,21043,Carter County,26797
NA,21045,Casey County,16159
NA,21047,Christian County,70461
NA,21049,Clark County,36263
NA,21051,Clay County,19901
NA,21053,Clinton County,10218
NA,21055,Crittenden County,8806
NA,21057,Cumberland County,6614
NA,21059,Daviess County,101511
NA,21061,Edmonson County,12150
NA,21063,Elliott County,7517
NA,21065,Estill County,14106
NA,21067,Fayette County,323152
NA,21069,Fleming County,14581
NA,21071,Floyd County,35589
NA,21073,Franklin County,50991
NA,21075,Fulton County,5969
NA,21077,Gallatin County,8869
NA,21079,Garrard County,17666
NA,21081,Grant County,25069
NA,21083,Graves County,37266
NA,21085,Grayson County,26427
NA,21087,Green County,10941
NA,21089,Greenup County,35098
NA,21091,Hancock County,8722
NA,21093,Hardin County,110958
NA,21095,Harlan County,26010
NA,21097,Harrison County,18886
NA,21099,Hart County,19035
NA,21101,Henderson County,45210
NA,21103,Henry County,16126
NA,21105,Hickman County,4380
NA,21107,Hopkins County,44686
NA,21109,Jackson County,13329
NA,21111,Jefferson County,766757
NA,21113,Jessamine County,54115
NA,21115,Johnson County,22188
NA,21117,Kenton County,166998
NA,21119,Knott County,14806
NA,21121,Knox County,31145
NA,21123,Larue County,14398
NA,21125,Laurel County,60813
NA,21127,Lawrence County,15317
NA,21129,Lee County,7403
NA,21131,Leslie County,9877
NA,21133,Letcher County,21553
NA,21135,Lewis County,13275
NA,21137,Lincoln County,24549
NA,21139,Livingston County,9194
NA,21141,Logan County,27102
NA,21143,Lyon County,8210
NA,21145,McCracken County,65418
NA,21147,McCreary County,17231
NA,21149,McLean County,9207
NA,21151,Madison County,92987
NA,21153,Magoffin County,12161
NA,21155,Marion County,19273
NA,21157,Marshall County,31100
NA,21159,Martin County,11195
NA,21161,Mason County,17070
NA,21163,Meade County,28572
NA,21165,Menifee County,6489
NA,21167,Mercer County,21933
NA,21169,Metcalfe County,10071
NA,21171,Monroe County,10650
NA,21173,Montgomery County,28157
NA,21175,Morgan County,13309
NA,21177,Muhlenberg County,30622
NA,21179,Nelson County,46233
NA,21181,Nicholas County,7269
NA,21183,Ohio County,23994
NA,21185,Oldham County,66799
NA,21187,Owen County,10901
NA,21189,Owsley County,4415
NA,21191,Pendleton County,14590
NA,21193,Perry County,25758
NA,21195,Pike County,57876
NA,21197,Powell County,12359
NA,21199,Pulaski County,64979
NA,21201,Robertson County,2108
NA,21203,Rockcastle County,16695
NA,21205,Rowan County,24460
NA,21207,Russell County,17923
NA,21209,Scott County,57004
NA,21211,Shelby County,49024
NA,21213,Simpson County,18572
NA,21215,Spencer County,19351
NA,21217,Taylor County,25769
NA,21219,Todd County,12294
NA,21221,Trigg County,14651
NA,21223,Trimble County,8471
NA,21225,Union County,14381
NA,21227,Warren County,132896
NA,21229,Washington County,12095
NA,21231,Wayne County,20333
NA,21233,Webster County,12942
NA,21235,Whitley County,36264
NA,21237,Wolfe County,7157
NA,21239,Woodford County,26734
NA,22001,Acadia County,62045
NA,22003,Allen County,25627
NA,22005,Ascension County,126604
NA,22007,Assumption County,21891
NA,22009,Avoyelles County,40144
NA,22011,Beauregard County,37497
NA,22013,Bienville County,13241
NA,22015,Bossier County,127039
NA,22017,Caddo County,240204
NA,22019,Calcasieu County,203436
NA,22021,Caldwell County,9918
NA,22023,Cameron County,6973
NA,22025,Catahoula County,9494
NA,22027,Claiborne County,15670
NA,22029,Concordia County,19259
NA,22031,De Soto County,27463
NA,22033,East Baton Rouge County,440059
NA,22035,East Carroll County,6861
NA,22037,East Feliciana County,19135
NA,22039,Evangeline County,33395
NA,22041,Franklin County,20015
NA,22043,Grant County,22389
NA,22045,Iberia County,69830
NA,22047,Iberville County,32511
NA,22049,Jackson County,15744
NA,22051,Jefferson County,432493
NA,22053,Jefferson Davis County,31368
NA,22055,Lafayette County,244390
NA,22057,Lafourche County,97614
NA,22059,LaSalle County,14892
NA,22061,Lincoln County,46742
NA,22063,Livingston County,140789
NA,22065,Madison County,10951
NA,22067,Morehouse County,24874
NA,22069,Natchitoches County,38158
NA,22071,Orleans County,390144
NA,22073,Ouachita County,153279
NA,22075,Plaquemines County,23197
NA,22077,Pointe Coupee County,21730
NA,22079,Rapides County,129648
NA,22081,Red River County,8442
NA,22083,Richland County,20122
NA,22085,Sabine County,23884
NA,22087,St. Bernard County,47244
NA,22089,St. Charles County,53100
NA,22091,St. Helena County,10132
NA,22093,St. James County,21096
NA,22095,St. John the Baptist County,42837
NA,22097,St. Landry County,82124
NA,22099,St. Martin County,53431
NA,22101,St. Mary County,49348
NA,22103,St. Tammany County,260419
NA,22105,Tangipahoa County,134758
NA,22107,Tensas County,4334
NA,22109,Terrebonne County,110461
NA,22111,Union County,22108
NA,22113,Vermilion County,59511
NA,22115,Vernon County,47429
NA,22117,Washington County,46194
NA,22119,Webster County,38340
NA,22121,West Baton Rouge County,26465
NA,22123,West Carroll County,10830
NA,22125,West Feliciana County,15568
NA,22127,Winn County,13904
NA,23001,Androscoggin County,108277
NA,23003,Aroostook County,67055
NA,23005,Cumberland County,295003
NA,23007,Franklin County,30199
NA,23009,Hancock County,54987
NA,23011,Kennebec County,122302
NA,23013,Knox County,39772
NA,23015,Lincoln County,34634
NA,23017,Oxford County,57975
NA,23019,Penobscot County,152148
NA,23021,Piscataquis County,16785
NA,23023,Sagadahoc County,35856
NA,23025,Somerset County,50484
NA,23027,Waldo County,39715
NA,23029,Washington County,31379
NA,23031,York County,207641
NA,24001,Allegany County,70416
NA,24003,Anne Arundel County,579234
NA,24005,Baltimore County,827370
NA,24009,Calvert County,92525
NA,24011,Caroline County,33406
NA,24013,Carroll County,168447
NA,24015,Cecil County,102855
NA,24017,Charles County,163257
NA,24019,Dorchester County,31929
NA,24021,Frederick County,259547
NA,24023,Garrett County,29014
NA,24025,Harford County,255441
NA,24027,Howard County,325690
NA,24029,Kent County,19422
NA,24031,Montgomery County,1050688
NA,24033,Prince George's County,909327
NA,24035,Queen Anne's County,50381
NA,24037,St. Mary's County,113510
NA,24039,Somerset County,25616
NA,24041,Talbot County,37181
NA,24043,Washington County,151049
NA,24045,Wicomico County,103609
NA,24047,Worcester County,52276
NA,24510,Baltimore City County,593490
NA,25001,Barnstable County,212990
NA,25003,Berkshire County,124944
NA,25005,Bristol County,565217
NA,25007,Dukes County,17332
NA,25009,Essex County,789034
NA,25011,Franklin County,70180
NA,25013,Hampden County,466372
NA,25015,Hampshire County,160830
NA,25017,Middlesex County,1611699
NA,25019,Nantucket County,11399
NA,25021,Norfolk County,706775
NA,25023,Plymouth County,521202
NA,25025,Suffolk County,803907
NA,25027,Worcester County,830622
NA,26001,Alcona County,10405
NA,26003,Alger County,9108
NA,26005,Allegan County,118081
NA,26007,Alpena County,28405
NA,26009,Antrim County,23324
NA,26011,Arenac County,14883
NA,26013,Baraga County,8209
NA,26015,Barry County,61550
NA,26017,Bay County,103126
NA,26019,Benzie County,17766
NA,26021,Berrien County,153401
NA,26023,Branch County,43517
NA,26025,Calhoun County,134159
NA,26027,Cass County,51787
NA,26029,Charlevoix County,26143
NA,26031,Cheboygan County,25276
NA,26033,Chippewa County,37349
NA,26035,Clare County,30950
NA,26037,Clinton County,79595
NA,26039,Crawford County,14029
NA,26041,Delta County,35784
NA,26043,Dickinson County,25239
NA,26045,Eaton County,110268
NA,26047,Emmet County,33415
NA,26049,Genesee County,405813
NA,26051,Gladwin County,25449
NA,26053,Gogebic County,13975
NA,26055,Grand Traverse County,93088
NA,26057,Gratiot County,40711
NA,26059,Hillsdale County,45605
NA,26061,Houghton County,35684
NA,26063,Huron County,30981
NA,26065,Ingham County,292406
NA,26067,Ionia County,64697
NA,26069,Iosco County,25127
NA,26071,Iron County,11066
NA,26073,Isabella County,69872
NA,26075,Jackson County,158510
NA,26077,Kalamazoo County,265066
NA,26079,Kalkaska County,18038
NA,26081,Kent County,656955
NA,26083,Keweenaw County,2116
NA,26085,Lake County,11853
NA,26087,Lapeer County,87607
NA,26089,Leelanau County,21761
NA,26091,Lenawee County,98451
NA,26093,Livingston County,191995
NA,26095,Luce County,6229
NA,26097,Mackinac County,10799
NA,26099,Macomb County,873972
NA,26101,Manistee County,24558
NA,26103,Marquette County,66699
NA,26105,Mason County,29144
NA,26107,Mecosta County,43453
NA,26109,Menominee County,22780
NA,26111,Midland County,83156
NA,26113,Missaukee County,15118
NA,26115,Monroe County,150500
NA,26117,Montcalm County,63888
NA,26119,Montmorency County,9328
NA,26121,Muskegon County,173566
NA,26123,Newaygo County,48980
NA,26125,Oakland County,1257584
NA,26127,Oceana County,26467
NA,26129,Ogemaw County,20997
NA,26131,Ontonagon County,5720
NA,26133,Osceola County,23460
NA,26135,Oscoda County,8241
NA,26137,Otsego County,24668
NA,26139,Ottawa County,291830
NA,26141,Presque Isle County,12592
NA,26143,Roscommon County,24019
NA,26145,Saginaw County,190539
NA,26147,St. Clair County,159128
NA,26149,St. Joseph County,60964
NA,26151,Sanilac County,41170
NA,26153,Schoolcraft County,8094
NA,26155,Shiawassee County,68122
NA,26157,Tuscola County,52245
NA,26159,Van Buren County,75677
NA,26161,Washtenaw County,367601
NA,26163,Wayne County,1749343
NA,26165,Wexford County,33631
NA,27001,Aitkin County,15886
NA,27003,Anoka County,356921
NA,27005,Becker County,34423
NA,27007,Beltrami County,47188
NA,27009,Benton County,40889
NA,27011,Big Stone County,4991
NA,27013,Blue Earth County,67653
NA,27015,Brown County,25008
NA,27017,Carlton County,35871
NA,27019,Carver County,105089
NA,27021,Cass County,29779
NA,27023,Chippewa County,11800
NA,27025,Chisago County,56579
NA,27027,Clay County,64222
NA,27029,Clearwater County,8818
NA,27031,Cook County,5463
NA,27033,Cottonwood County,11196
NA,27035,Crow Wing County,65055
NA,27037,Dakota County,429021
NA,27039,Dodge County,20934
NA,27041,Douglas County,38141
NA,27043,Faribault County,13653
NA,27045,Fillmore County,21067
NA,27047,Freeborn County,30281
NA,27049,Goodhue County,46340
NA,27051,Grant County,5972
NA,27053,Hennepin County,1265843
NA,27055,Houston County,18600
NA,27057,Hubbard County,21491
NA,27059,Isanti County,40596
NA,27061,Itasca County,45130
NA,27063,Jackson County,9846
NA,27065,Kanabec County,16337
NA,27067,Kandiyohi County,43199
NA,27069,Kittson County,4298
NA,27071,Koochiching County,12229
NA,27073,Lac qui Parle County,6623
NA,27075,Lake County,10641
NA,27077,Lake of the Woods County,3740
NA,27079,Le Sueur County,28887
NA,27081,Lincoln County,5639
NA,27083,Lyon County,25474
NA,27085,McLeod County,35893
NA,27087,Mahnomen County,5527
NA,27089,Marshall County,9336
NA,27091,Martin County,19683
NA,27093,Meeker County,23222
NA,27095,Mille Lacs County,26277
NA,27097,Morrison County,33386
NA,27099,Mower County,40062
NA,27101,Murray County,8194
NA,27103,Nicollet County,34274
NA,27105,Nobles County,21629
NA,27107,Norman County,6375
NA,27109,Olmsted County,158293
NA,27111,Otter Tail County,58746
NA,27113,Pennington County,14119
NA,27115,Pine County,29579
NA,27117,Pipestone County,9126
NA,27119,Polk County,31364
NA,27121,Pope County,11249
NA,27123,Ramsey County,550321
NA,27125,Red Lake County,4055
NA,27127,Redwood County,15170
NA,27129,Renville County,14548
NA,27131,Rice County,66972
NA,27133,Rock County,9315
NA,27135,Roseau County,15165
NA,27137,St. Louis County,199070
NA,27139,Scott County,149013
NA,27141,Sherburne County,97238
NA,27143,Sibley County,14865
NA,27145,Stearns County,161075
NA,27147,Steele County,36649
NA,27149,Stevens County,9805
NA,27151,Swift County,9266
NA,27153,Todd County,24664
NA,27155,Traverse County,3259
NA,27157,Wabasha County,21627
NA,27159,Wadena County,13682
NA,27161,Waseca County,18612
NA,27163,Washington County,262440
NA,27165,Watonwan County,10897
NA,27167,Wilkin County,6207
NA,27169,Winona County,50484
NA,27171,Wright County,138377
NA,27173,Yellow Medicine County,9709
NA,28001,Adams County,30693
NA,28003,Alcorn County,36953
NA,28005,Amite County,12297
NA,28007,Attala County,18174
NA,28009,Benton County,8259
NA,28011,Bolivar County,30628
NA,28013,Calhoun County,14361
NA,28015,Carroll County,9947
NA,28017,Chickasaw County,17103
NA,28019,Choctaw County,8210
NA,28021,Claiborne County,8988
NA,28023,Clarke County,15541
NA,28025,Clay County,19316
NA,28027,Coahoma County,22124
NA,28029,Copiah County,28065
NA,28031,Covington County,18636
NA,28033,DeSoto County,184945
NA,28035,Forrest County,74897
NA,28037,Franklin County,7713
NA,28039,George County,24500
NA,28041,Greene County,13586
NA,28043,Grenada County,20758
NA,28045,Hancock County,47632
NA,28047,Harrison County,208080
NA,28049,Hinds County,231840
NA,28051,Holmes County,17010
NA,28053,Humphreys County,8064
NA,28055,Issaquena County,1327
NA,28057,Itawamba County,23390
NA,28059,Jackson County,143617
NA,28061,Jasper County,16383
NA,28063,Jefferson County,6990
NA,28065,Jefferson Davis County,11128
NA,28067,Jones County,68098
NA,28069,Kemper County,9742
NA,28071,Lafayette County,54019
NA,28073,Lamar County,63343
NA,28075,Lauderdale County,74125
NA,28077,Lawrence County,12586
NA,28079,Leake County,22786
NA,28081,Lee County,85436
NA,28083,Leflore County,28183
NA,28085,Lincoln County,34153
NA,28087,Lowndes County,58595
NA,28089,Madison County,106272
NA,28091,Marion County,24573
NA,28093,Marshall County,35294
NA,28095,Monroe County,35252
NA,28097,Montgomery County,9775
NA,28099,Neshoba County,29118
NA,28101,Newton County,21018
NA,28103,Noxubee County,10417
NA,28105,Oktibbeha County,49587
NA,28107,Panola County,34192
NA,28109,Pearl River County,55535
NA,28111,Perry County,11973
NA,28113,Pike County,39288
NA,28115,Pontotoc County,32174
NA,28117,Prentiss County,25126
NA,28119,Quitman County,6792
NA,28121,Rankin County,155271
NA,28123,Scott County,28124
NA,28125,Sharkey County,4321
NA,28127,Simpson County,26658
NA,28129,Smith County,15916
NA,28131,Stone County,18336
NA,28133,Sunflower County,25110
NA,28135,Tallahatchie County,13809
NA,28137,Tate County,28321
NA,28139,Tippah County,22015
NA,28141,Tishomingo County,19383
NA,28143,Tunica County,9632
NA,28145,Union County,28815
NA,28147,Walthall County,14286
NA,28149,Warren County,45381
NA,28151,Washington County,43909
NA,28153,Wayne County,20183
NA,28155,Webster County,9689
NA,28157,Wilkinson County,8630
NA,28159,Winston County,17955
NA,28161,Yalobusha County,12108
NA,28163,Yazoo County,29690
NA,29001,Adair County,25343
NA,29003,Andrew County,17712
NA,29005,Atchison County,5143
NA,29007,Audrain County,25388
NA,29009,Barry County,35789
NA,29011,Barton County,11754
NA,29013,Bates County,16172
NA,29015,Benton County,19443
NA,29017,Bollinger County,12133
NA,29019,Boone County,180463
NA,29021,Buchanan County,87364
NA,29023,Butler County,42478
NA,29025,Caldwell County,9020
NA,29027,Callaway County,44743
NA,29029,Camden County,46305
NA,29031,Cape Girardeau County,78871
NA,29033,Carroll County,8679
NA,29035,Carter County,5982
NA,29037,Cass County,105780
NA,29039,Cedar County,14349
NA,29041,Chariton County,7426
NA,29043,Christian County,88595
NA,29045,Clark County,6797
NA,29047,Clay County,249948
NA,29049,Clinton County,20387
NA,29051,Cole County,76745
NA,29053,Cooper County,17709
NA,29055,Crawford County,23920
NA,29057,Dade County,7561
NA,29059,Dallas County,16878
NA,29061,Daviess County,8278
NA,29063,DeKalb County,12547
NA,29065,Dent County,15573
NA,29067,Douglas County,13185
NA,29069,Dunklin County,29131
NA,29071,Franklin County,103967
NA,29073,Gasconade County,14706
NA,29075,Gentry County,6571
NA,29077,Greene County,293086
NA,29079,Grundy County,9850
NA,29081,Harrison County,8352
NA,29083,Henry County,21824
NA,29085,Hickory County,9544
NA,29087,Holt County,4403
NA,29089,Howard County,10001
NA,29091,Howell County,40117
NA,29093,Iron County,10125
NA,29095,Jackson County,703011
NA,29097,Jasper County,121328
NA,29099,Jefferson County,225081
NA,29101,Johnson County,54062
NA,29103,Knox County,3959
NA,29105,Laclede County,35723
NA,29107,Lafayette County,32708
NA,29109,Lawrence County,38355
NA,29111,Lewis County,9776
NA,29113,Lincoln County,59013
NA,29115,Linn County,11920
NA,29117,Livingston County,15227
NA,29119,McDonald County,22837
NA,29121,Macon County,15117
NA,29123,Madison County,12088
NA,29125,Maries County,8697
NA,29127,Marion County,28530
NA,29129,Mercer County,3617
NA,29131,Miller County,25619
NA,29133,Mississippi County,13180
NA,29135,Moniteau County,16132
NA,29137,Monroe County,8644
NA,29139,Montgomery County,11551
NA,29141,Morgan County,20627
NA,29143,New Madrid County,17076
NA,29145,Newton County,58236
NA,29147,Nodaway County,22092
NA,29149,Oregon County,10529
NA,29151,Osage County,13615
NA,29153,Ozark County,9174
NA,29155,Pemiscot County,15805
NA,29157,Perry County,19136
NA,29159,Pettis County,42339
NA,29161,Phelps County,44573
NA,29163,Pike County,18302
NA,29165,Platte County,104418
NA,29167,Polk County,32149
NA,29169,Pulaski County,52607
NA,29171,Putnam County,4696
NA,29173,Ralls County,10309
NA,29175,Randolph County,24748
NA,29177,Ray County,23018
NA,29179,Reynolds County,6270
NA,29181,Ripley County,13288
NA,29183,St. Charles County,402022
NA,29185,St. Clair County,9397
NA,29186,Ste. Genevieve County,17894
NA,29187,St. Francois County,67215
NA,29189,St. Louis County,994205
NA,29195,Saline County,22761
NA,29197,Schuyler County,4660
NA,29199,Scotland County,4902
NA,29201,Scott County,38280
NA,29203,Shannon County,8166
NA,29205,Shelby County,5930
NA,29207,Stoddard County,29025
NA,29209,Stone County,31952
NA,29211,Sullivan County,6089
NA,29213,Taney County,55928
NA,29215,Texas County,25398
NA,29217,Vernon County,20563
NA,29219,Warren County,35649
NA,29221,Washington County,24730
NA,29223,Wayne County,12873
NA,29225,Webster County,39592
NA,29227,Worth County,2013
NA,29229,Wright County,18289
NA,29510,St. Louis City County,300576
NA,30001,Beaverhead County,9453
NA,30003,Big Horn County,13319
NA,30005,Blaine County,6681
NA,30007,Broadwater County,6237
NA,30009,Carbon County,10725
NA,30011,Carter County,1252
NA,30013,Cascade County,81366
NA,30015,Chouteau County,5635
NA,30017,Custer County,11402
NA,30019,Daniels County,1690
NA,30021,Dawson County,8613
NA,30023,Deer Lodge County,9140
NA,30025,Fallon County,2846
NA,30027,Fergus County,11050
NA,30029,Flathead County,103806
NA,30031,Gallatin County,114434
NA,30033,Garfield County,1258
NA,30035,Glacier County,13753
NA,30037,Golden Valley County,821
NA,30039,Granite County,3379
NA,30041,Hill County,16484
NA,30043,Jefferson County,12221
NA,30045,Judith Basin County,2007
NA,30047,Lake County,30458
NA,30049,Lewis and Clark County,69432
NA,30051,Liberty County,2337
NA,30053,Lincoln County,19980
NA,30055,McCone County,1664
NA,30057,Madison County,8600
NA,30059,Meagher County,1862
NA,30061,Mineral County,4397
NA,30063,Missoula County,119600
NA,30065,Musselshell County,4633
NA,30067,Park County,16606
NA,30069,Petroleum County,487
NA,30071,Phillips County,3954
NA,30073,Pondera County,5911
NA,30075,Powder River County,1682
NA,30077,Powell County,6890
NA,30079,Prairie County,1077
NA,30081,Ravalli County,43806
NA,30083,Richland County,10803
NA,30085,Roosevelt County,11004
NA,30087,Rosebud County,8937
NA,30089,Sanders County,12113
NA,30091,Sheridan County,3309
NA,30093,Silver Bow County,34915
NA,30095,Stillwater County,9642
NA,30097,Sweet Grass County,3737
NA,30099,Teton County,6147
NA,30101,Toole County,4736
NA,30103,Treasure County,696
NA,30105,Valley County,7396
NA,30107,Wheatland County,2126
NA,30109,Wibaux County,969
NA,30111,Yellowstone County,161300
NA,31001,Adams County,31363
NA,31003,Antelope County,6298
NA,31005,Arthur County,463
NA,31007,Banner County,745
NA,31009,Blaine County,465
NA,31011,Boone County,5192
NA,31013,Box Butte County,10783
NA,31015,Boyd County,1919
NA,31017,Brown County,2955
NA,31019,Buffalo County,49659
NA,31021,Burt County,6459
NA,31023,Butler County,8016
NA,31025,Cass County,26248
NA,31027,Cedar County,8402
NA,31029,Chase County,3924
NA,31031,Cherry County,5689
NA,31033,Cheyenne County,8910
NA,31035,Clay County,6203
NA,31037,Colfax County,10709
NA,31039,Cuming County,8846
NA,31041,Custer County,10777
NA,31043,Dakota County,20026
NA,31045,Dawes County,8589
NA,31047,Dawson County,23595
NA,31049,Deuel County,1794
NA,31051,Dixon County,5636
NA,31053,Dodge County,36565
NA,31055,Douglas County,571327
NA,31057,Dundy County,1693
NA,31059,Fillmore County,5462
NA,31061,Franklin County,2979
NA,31063,Frontier County,2627
NA,31065,Furnas County,4676
NA,31067,Gage County,21513
NA,31069,Garden County,1837
NA,31071,Garfield County,1969
NA,31073,Gosper County,1990
NA,31075,Grant County,623
NA,31077,Greeley County,2356
NA,31079,Hall County,61353
NA,31081,Hamilton County,9324
NA,31083,Harlan County,3380
NA,31085,Hayes County,922
NA,31087,Hitchcock County,2762
NA,31089,Holt County,10067
NA,31091,Hooker County,682
NA,31093,Howard County,6445
NA,31095,Jefferson County,7046
NA,31097,Johnson County,5071
NA,31099,Kearney County,6495
NA,31101,Keith County,8034
NA,31103,Keya Paha County,806
NA,31105,Kimball County,3632
NA,31107,Knox County,8332
NA,31109,Lancaster County,319090
NA,31111,Lincoln County,34914
NA,31113,Logan County,748
NA,31115,Loup County,664
NA,31117,McPherson County,494
NA,31119,Madison County,35099
NA,31121,Merrick County,7755
NA,31123,Morrill County,4642
NA,31125,Nance County,3519
NA,31127,Nemaha County,6972
NA,31129,Nuckolls County,4148
NA,31131,Otoe County,16012
NA,31133,Pawnee County,2613
NA,31135,Perkins County,2891
NA,31137,Phelps County,9034
NA,31139,Pierce County,7148
NA,31141,Platte County,33470
NA,31143,Polk County,5213
NA,31145,Red Willow County,10724
NA,31147,Richardson County,7865
NA,31149,Rock County,1357
NA,31151,Saline County,14224
NA,31153,Sarpy County,187196
NA,31155,Saunders County,21578
NA,31157,Scotts Bluff County,35618
NA,31159,Seward County,17284
NA,31161,Sheridan County,5246
NA,31163,Sherman County,3001
NA,31165,Sioux County,1166
NA,31167,Stanton County,5920
NA,31169,Thayer County,5003
NA,31171,Thomas County,722
NA,31173,Thurston County,7224
NA,31175,Valley County,4158
NA,31177,Washington County,20729
NA,31179,Wayne County,9385
NA,31181,Webster County,3487
NA,31183,Wheeler County,783
NA,31185,York County,13679
NA,32001,Churchill County,24909
NA,32003,Clark County,2266715
NA,32005,Douglas County,48905
NA,32007,Elko County,52778
NA,32009,Esmeralda County,873
NA,32011,Eureka County,2029
NA,32013,Humboldt County,16831
NA,32015,Lander County,5532
NA,32017,Lincoln County,5183
NA,32019,Lyon County,57510
NA,32021,Mineral County,4505
NA,32023,Nye County,46523
NA,32027,Pershing County,6725
NA,32029,Storey County,4123
NA,32031,Washoe County,471519
NA,32033,White Pine County,9580
NA,32510,Carson City County,55916
NA,33001,Belknap County,61303
NA,33003,Carroll County,48910
NA,33005,Cheshire County,76085
NA,33007,Coos County,31563
NA,33009,Grafton County,89886
NA,33011,Hillsborough County,417025
NA,33013,Merrimack County,151391
NA,33015,Rockingham County,309769
NA,33017,Strafford County,130633
NA,33019,Sullivan County,43146
NA,34001,Atlantic County,263670
NA,34003,Bergen County,932202
NA,34005,Burlington County,445349
NA,34007,Camden County,506471
NA,34009,Cape May County,92039
NA,34011,Cumberland County,149527
NA,34013,Essex County,798975
NA,34015,Gloucester County,291636
NA,34017,Hudson County,672391
NA,34019,Hunterdon County,124371
NA,34021,Mercer County,367430
NA,34023,Middlesex County,825062
NA,34025,Monmouth County,618795
NA,34027,Morris County,491845
